title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 7.4 - 119 km ESE of Shizunai-furukawach?, Japan",7.4,2003-09-25 21:08:00,0,7,,0,842,us,514,0.0,78.8,mwc,33.0,41.774,143.593,"Shizunai-furukawach?, Japan",Asia,
"M 6.5 - 58 km S of Kushiro, Japan",6.5,2003-09-29 02:36:00,0,5,,0,650,us,586,0.0,71.3,mwc,25.0,42.45,144.38,"Kushiro, Japan",,
"M 6.7 - 39 km SSE of Kushiro, Japan",6.7,2003-10-08 09:06:00,0,6,,0,691,us,556,0.0,55.4,mwc,32.0,42.648,144.57,"Kushiro, Japan",Asia,
