title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 7.9 - 47 km E of ?arai, Japan",7.9,2011-03-11 06:15:00,8,7,,0,1140,us,163,0.0,48.4,mwc,42.6,36.281,141.111,"?arai, Japan",,
"M 7.7 - 272 km ESE of Kamaishi, Japan",7.7,2011-03-11 06:25:00,7,4,,0,931,us,507,0.0,10.8,mwc,18.6,38.058,144.59,"Kamaishi, Japan",,
"M 6.5 - 81 km NE of Hasaki, Japan",6.5,2011-03-11 08:19:00,0,4,,0,650,us,369,0.0,18.7,mb,6.8,36.166,141.562,"Hasaki, Japan",,
"M 6.6 - 50 km ESE of ?tsuchi, Japan",6.6,2011-03-11 11:36:00,6,5,,0,673,us,668,0.0,9.5,ms,25.7,39.241,142.463,"?tsuchi, Japan",,
"M 7.1 - 29 km ESE of Ishinomaki, Japan",7.1,2011-04-07 14:32:00,8,8,,0,1114,us,446,0.0,17.7,mww,42.0,38.276,141.588,"Ishinomaki, Japan",Asia,Japan
