title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 7.3 - 120 km SE of ?funato, Japan",7.3,2011-03-09 02:45:00,5,5,,0,972,us,550,0.0,17.4,mww,32.0,38.435,142.842,"?funato, Japan",,
"M 9.1 - 2011 Great Tohoku Earthquake, Japan",9.1,2011-03-11 05:46:00,9,8,,0,2184,official,541,0.0,9.5,mww,29.0,38.297,142.373,"2011 Great Tohoku Earthquake, Japan",,
"M 7.9 - 47 km E of ?arai, Japan",7.9,2011-03-11 06:15:00,8,7,,0,1140,us,163,0.0,48.4,mwc,42.6,36.281,141.111,"?arai, Japan",,
"M 7.7 - 272 km ESE of Kamaishi, Japan",7.7,2011-03-11 06:25:00,7,4,,0,931,us,507,0.0,10.8,mwc,18.6,38.058,144.59,"Kamaishi, Japan",,
"M 6.5 - 81 km NE of Hasaki, Japan",6.5,2011-03-11 08:19:00,0,4,,0,650,us,369,0.0,18.7,mb,6.8,36.166,141.562,"Hasaki, Japan",,
"M 6.6 - 50 km ESE of ?tsuchi, Japan",6.6,2011-03-11 11:36:00,6,5,,0,673,us,668,0.0,9.5,ms,25.7,39.241,142.463,"?tsuchi, Japan",,
