title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 7.2 - 71 km SSW of Port-Vila, Vanuatu",7.2,2011-08-20 16:55:00,8,6,,0,813,us,280,0.0,18.4,mww,32.0,-18.365,168.143,"Port-Vila, Vanuatu",,
"M 6.5 - 65 km SSW of Port-Vila, Vanuatu",6.5,2011-08-20 17:13:00,0,5,,0,650,us,322,0.0,15.0,mwc,35.0,-18.308,168.156,"Port-Vila, Vanuatu",,
"M 7.1 - 64 km S of Port-Vila, Vanuatu",7.1,2011-08-20 18:19:00,5,6,,0,787,us,564,0.0,12.3,mww,28.0,-18.311,168.218,"Port-Vila, Vanuatu",,
