title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 6.7 - 113 km SW of Padang, Indonesia",6.7,2005-04-10 10:29:00,5,6,,0,717,us,656,0.0,21.2,mwc,19.0,-1.644,99.607,"Padang, Indonesia",,Indonesia
"M 6.5 - 106 km SW of Padang, Indonesia",6.5,2005-04-10 11:14:00,3,6,,0,657,us,478,0.0,21.2,mwc,30.0,-1.714,99.779,"Padang, Indonesia",,Indonesia
