title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 6.5 - Kepulauan Mentawai region, Indonesia",6.5,2007-09-13 02:30:00,0,5,,0,650,us,409,0.0,26.2,mwc,28.9,-1.689,99.668,"Kepulauan Mentawai region, Indonesia",,Indonesia
"M 7.0 - 153 km SSW of Padang, Indonesia",7.0,2007-09-13 03:35:00,4,7,,0,768,us,537,0.0,23.1,mwc,22.0,-2.13,99.627,"Padang, Indonesia",,Indonesia
"M 6.7 - 118 km SSW of Padang, Indonesia",6.7,2007-09-20 08:31:00,3,5,,0,696,us,503,0.0,26.9,mwc,30.0,-1.999,100.141,"Padang, Indonesia",,Indonesia
