title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 7.8 - 148 km WSW of Sungai Penuh, Indonesia",7.8,2007-09-12 23:49:00,7,8,,0,1152,duputel,0,0.0,0.0,mww,40.5,-2.52,100.139,"Sungai Penuh, Indonesia",Asia,Indonesia
"M 7.9 - 87 km SW of Sungai Penuh, Indonesia",7.9,2007-09-12 23:49:00,8,7,,0,1133,us,446,0.0,29.1,mwc,35.0,-2.625,100.841,"Sungai Penuh, Indonesia",,Indonesia
"M 6.5 - Kepulauan Mentawai region, Indonesia",6.5,2007-09-13 02:30:00,0,5,,0,650,us,409,0.0,26.2,mwc,28.9,-1.689,99.668,"Kepulauan Mentawai region, Indonesia",,Indonesia
"M 7.0 - 153 km SSW of Padang, Indonesia",7.0,2007-09-13 03:35:00,4,7,,0,768,us,537,0.0,23.1,mwc,22.0,-2.13,99.627,"Padang, Indonesia",,Indonesia
"M 6.7 - 118 km SSW of Padang, Indonesia",6.7,2007-09-20 08:31:00,3,5,,0,696,us,503,0.0,26.9,mwc,30.0,-1.999,100.141,"Padang, Indonesia",,Indonesia
