title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
M 7.5 - South Sandwich Islands region,7.5,2021-08-12 18:32:00,9,6,green,1,868,us,0,7.227,38.0,mww,47.23,-57.5959,-25.1874,South Sandwich Islands region,,
M 8.1 - South Sandwich Islands region,8.1,2021-08-12 18:35:00,0,7,green,0,1009,us,0,7.463,78.0,mww,22.79,-58.4157,-25.3206,South Sandwich Islands region,,
M 6.9 - South Sandwich Islands region,6.9,2021-08-16 11:10:00,6,4,green,1,734,us,0,8.363,48.0,mww,16.7,-58.3814,-23.3318,South Sandwich Islands region,,
M 6.6 - South Sandwich Islands region,6.6,2021-08-22 00:45:00,1,3,green,1,670,us,0,8.865,19.0,mww,7.0,-60.1023,-24.4608,South Sandwich Islands region,,Antarctica
