title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country
"M 6.9 - 90 km WNW of Iquique, Chile",6.9,2014-04-01 23:57:00,0,5,green,0,732,us,0,0.828,119.0,mww,28.42,-19.8927,-70.9455,"Iquique, Chile",,
"M 6.5 - 45 km WSW of Iquique, Chile",6.5,2014-04-03 01:58:00,7,7,green,0,670,us,0,0.828,82.0,mww,24.07,-20.3113,-70.5756,"Iquique, Chile",,
"M 7.7 - 53 km SW of Iquique, Chile",7.7,2014-04-03 02:43:00,8,9,yellow,1,1057,us,0,1.029,44.0,mww,22.4,-20.5709,-70.4931,"Iquique, Chile",,
